id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_category
32785169,2 Bedroom Refuge with Private Bath & Living Room,20433973,Julia,Bronx,City Island,40.83988,-73.78287,Private room,95,1,6,2019-06-17,1.65,2,359,Mid-Range
34399984,Two private rooms,259690766,Souadou,Bronx,Belmont,40.85648,-73.88501,Private room,95,2,4,2019-07-01,2.35,1,325,Mid-Range
36379669,Shared living space in the Bronx!,44378432,Bryan,Bronx,Pelham Bay,40.84735,-73.83095,Shared room,50,1,0,,0.0,1,88,Budget
35249458,Light-filled comfortable entire apartment,264809787,Kurt,Bronx,Concourse Village,40.82778,-73.91516,Entire home/apt,75,3,2,2019-06-21,2.0,1,253,Budget
16506121,Beautifully private furnished room,108464471,Jeremiah,Bronx,Longwood,40.8179,-73.91456,Private room,100,6,0,,0.0,1,365,Mid-Range
19974905,Esteem's Place,141615596,Esteem,Bronx,Parkchester,40.83805,-73.85867,Shared room,26,1,18,2019-04-23,0.78,2,342,Budget
12345615,Natural light comfortable room!,52196858,Danny,Bronx,Parkchester,40.83648,-73.85812,Private room,59,1,120,2019-07-02,3.11,2,336,Budget
16476956,Newly renovated & Fully Furnished Super clean,51065605,Charles,Bronx,Port Morris,40.80743,-73.92971,Entire home/apt,115,5,7,2019-07-01,0.23,1,7,Mid-Range
33363084,E community that is commercially (Website hidden by Airbnb) smoke,242175033,Alex,Bronx,Allerton,40.86003,-73.86584,Entire home/apt,60,1,28,2019-07-02,8.32,1,74,Budget
4671824,Master Bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,40.83212,-73.93054,Private room,60,1,56,2019-06-23,1.09,3,355,Budget
25909160,Simple Private Rm w/ Futon in the Bronx/ Storage,144119993,Charles,Bronx,Fordham,40.85801,-73.88247,Private room,21,1,9,2018-08-05,0.7,2,0,Budget
30848952,Cozy private room in the Upcoming Bronx,230646296,Cesar,Bronx,Concourse Village,40.83311,-73.9116,Private room,34,2,2,2018-12-26,0.29,1,0,Budget
2848235,Perfect room for one in beautiful home,13649613,"Rossy,  Carmen And Juan",Bronx,University Heights,40.85711,-73.91594,Private room,44,2,135,2019-06-16,2.13,4,70,Budget
15510279,Studio in Mott Haven-1 subway stop from Manhattan,99651727,Lucia,Bronx,Mott Haven,40.81072,-73.92349,Entire home/apt,120,2,26,2019-06-19,0.85,1,260,Mid-Range
25484515,Your Home away from Home,192335868,Johnnet,Bronx,Edenwald,40.8901,-73.84031,Private room,125,1,11,2018-08-04,0.88,1,189,Mid-Range
24793502,Conveniently located to  manhattan,132669029,Edwin,Bronx,Throgs Neck,40.82601,-73.81907,Private room,50,3,19,2019-06-12,1.36,4,8,Budget
2545184,Great room! Good for med students!,4096786,Nicolas,Bronx,Norwood,40.87605,-73.88047,Private room,70,6,40,2019-03-01,0.73,1,313,Budget
29037141,PRIVATE SINGLES CLEAN BEDROOM NY 6 TRAIN NO CURFEW,44260966,Alicia,Bronx,Soundview,40.83144,-73.86639,Private room,38,2,11,2019-04-21,1.29,3,188,Budget
17076735,Summer Special-Near Bronx Zoo/Botanic Garden/Metro,114568204,Angela,Bronx,Pelham Gardens,40.86673,-73.845,Entire home/apt,119,3,75,2019-07-01,2.74,1,146,Mid-Range
17899730,Cozy Bronx Apt,94382194,Sean,Bronx,Tremont,40.84546,-73.89013,Entire home/apt,150,1,43,2019-06-09,1.57,1,179,Mid-Range
28082095,The BEST of SoBro,135412962,Charlie,Bronx,Mott Haven,40.80769,-73.91617,Entire home/apt,130,1,38,2019-06-30,3.68,1,349,Mid-Range
34940796,LOW PRICED HOME AWAY FROM HOME,102796618,Isaac,Bronx,Wakefield,40.88798,-73.86474,Private room,35,1,5,2019-07-04,3.13,1,62,Budget
13315967,Authentic Industrial Loft with 35ft ceilings.,75275467,Yaron,Bronx,Port Morris,40.80884,-73.9302,Entire home/apt,139,2,28,2019-05-28,0.8,4,131,Mid-Range
32818383,Cozy clean quiet room with lock and key #1,146132198,Ronald And Cookie,Bronx,Wakefield,40.89393,-73.8581,Private room,50,2,14,2019-07-01,3.59,2,132,Budget
14724479,Clean & Amazing Semi Private NYC Room by #1 Train,30499687,Jovanni & Natasha,Bronx,Fieldston,40.89581,-73.89778,Private room,59,2,7,2017-04-17,0.21,2,0,Budget
17095035,Large NYC FLAWLESS Room  Close to public transport,55948559,Barry,Bronx,Pelham Gardens,40.86686,-73.84207,Private room,35,1,16,2019-01-21,0.61,4,3,Budget
11320482,living affordably in prim RIVERDALE,24789838,Aljosha,Bronx,Kingsbridge,40.88599,-73.89868,Private room,45,6,0,,0.0,2,0,Budget
32161408,Cómodo apartamento familiar,131995652,Henry,Bronx,Mount Hope,40.84994,-73.9066,Entire home/apt,148,3,7,2019-07-07,1.74,1,358,Mid-Range
20686134,Hideaway Studio,14469743,Brian,Bronx,Pelham Bay,40.84711,-73.83039,Entire home/apt,80,2,66,2019-06-19,3.04,1,56,Mid-Range
3953415,LL2,295128,Carol Gloria,Bronx,Clason Point,40.81225,-73.85349,Private room,75,2,0,,0.0,7,349,Budget
4632852,"Spacious, rustic barn style bedroom",23991556,Natasha,Bronx,Concourse,40.83719,-73.92015,Private room,85,1,9,2017-10-16,0.18,1,342,Mid-Range
9846114,"Spacious, Sunny,Beautiful Apartment",20271650,Bj,Bronx,Mott Haven,40.81192,-73.90949,Private room,64,3,36,2019-05-25,0.84,1,1,Budget
21090094,"Private and Cozy Studio  Pelham Gardens - Bx, NY.",152045247,Mariana,Bronx,Pelham Gardens,40.86506,-73.84295,Entire home/apt,40,2,37,2019-05-01,1.81,1,35,Budget
29876453,"In Riverdale, a most unusual apartment to enjoy.",124867390,Karel,Bronx,Spuyten Duyvil,40.88071,-73.92074,Private room,60,3,8,2019-06-16,1.11,1,326,Budget
29117643,Cultured NYC 2.0,165607672,Mariela,Bronx,Fordham,40.85765,-73.90351,Private room,48,2,18,2019-04-13,2.0,2,34,Budget
35877927,Private apartment in bronx ##2,35783912,Pi & Leo,Bronx,Fordham,40.86294,-73.89242,Entire home/apt,99,2,0,,0.0,8,343,Mid-Range
