total_bill,tip,sex,smoker,day,time,size,day_encoded,tip_percentage,bill_category,total_bill_standard,total_bill_minmax,bill_per_person,is_weekend,size_category
16.99,1.01,Female,No,Sun,Dinner,2,2,5.9446733372572105,Medium,-0.3147113050904943,0.2915793883535819,8.495,1,Small
10.34,1.66,Male,No,Sun,Dinner,3,2,16.054158607350097,Low,-1.0632353132988692,0.15228320067029744,3.4466666666666668,1,Medium
21.01,3.5,Male,No,Sun,Dinner,3,2,16.658733936220845,Medium,0.13777989987156145,0.37578550481776285,7.003333333333334,1,Medium
23.68,3.31,Male,No,Sun,Dinner,2,2,13.97804054054054,Medium,0.43831510316725475,0.4317134478424801,11.84,1,Small
24.59,3.61,Female,No,Sun,Dinner,4,2,14.680764538430255,Medium,0.540744704290506,0.4507750314201927,6.1475,1,Medium
25.29,4.71,Male,No,Sun,Dinner,4,2,18.62396204033215,Medium,0.6195367051545455,0.46543778801843316,6.3225,1,Medium
8.77,2.0,Male,No,Sun,Dinner,2,2,22.80501710376283,Low,-1.2399545152367863,0.11939673229995809,4.385,1,Small
26.88,3.12,Male,No,Sun,Dinner,4,2,11.607142857142858,Medium,0.7985071071171495,0.4987431922915794,6.72,1,Medium
15.04,1.96,Male,No,Sun,Dinner,2,2,13.031914893617023,Medium,-0.5342033074974614,0.250733137829912,7.52,1,Small
14.78,3.23,Male,No,Sun,Dinner,2,2,21.853856562922868,Low,-0.5634689078183903,0.2452869710934227,7.39,1,Small
10.27,1.71,Male,No,Sun,Dinner,2,2,16.65043816942551,Low,-1.0711145133852733,0.1508169250104734,5.135,1,Small
35.26,5.0,Female,No,Sun,Dinner,4,2,14.180374361883155,High,1.7417599174609364,0.6742773355676581,8.815,1,Medium
15.42,1.57,Male,No,Sun,Dinner,2,2,10.181582360570687,Medium,-0.49143050702841123,0.2586929199832425,7.71,1,Small
18.43,3.0,Male,No,Sun,Dinner,4,2,16.277807921866522,Medium,-0.15262490331304146,0.3217427733556766,4.6075,1,Medium
14.83,3.02,Female,No,Sun,Dinner,2,2,20.364126770060686,Low,-0.557840907756673,0.24633431085043986,7.415,1,Small
